Unnamed: 0_level_0,[115],[21113],[22111],[2319],[2417],[2515],[2613],[2711],[31112],[3121110],[312218],[312316],[312414],[312512],[3126],[3219],[322117],[322215],[322313],[322411],[3316],[332114],[332212],[3323],[3413],[342111],[35],[41111],[412119],[412217],[412315],[412413],[412511],[413118],[41312116],[41312214],[41312312],[413124],[413215],[41322113],[41322211],[413312],[413321],[4217],[422115],[422213],[422311],[423114],[42312112],[423122],[423211],[4313],[432111],[4331],[51110],[512118],[512216],[512314],[512412],[5125],[513117],[51312115],[51312213],[51312311],[513214],[51322112],[513222],[513311],[514116],[51412114],[51412212],[514123],[51413113],[5141312111],[514132],[514212],[514221],[5215],[522113],[522211],[523112],[523121],[524111],[53],[6119],[612117],[612215],[612313],[612411],[613116],[61312114],[61312212],[613123],[613213],[61322111],[6133],[614115],[61412113],[61412211],[61413112],[61413121],[614211],[615114],[61512112],[615122],[61513111],[615141],[6213],[622111],[6231],[7118],[712116],[712214],[712312],[7124],[713115],[71312113],[71312211],[713212],[713221],[714114],[71412112],[714122],[71413111],[7142],[715113],[71512111],[715131],[716112],[716121],[7211],[8117],[812115],[812213],[812311],[813114],[81312112],[813122],[813211],[814113],[81412111],[814131],[815112],[815121],[816111],[8171],[9116],[912114],[912212],[9123],[913113],[91312111],[9132],[914112],[914121],[915111],[9161],[10115],[1012113],[1012211],[1013112],[1013121],[1014111],[10151],[11114],[1112112],[11122],[1113111],[11141],[12113],[1212111],[12131],[13112],[13121],[14111],[151]
s[912212],24948,5940,396,-324,-60,36,-36,-84,3564,216,-132,0,12,-24,-36,162,-36,6,0,-6,0,0,0,0,0,0,0,1584,0,-40,24,0,-16,48,0,8,0,0,6,0,2,0,0,28,12,4,4,4,0,4,-2,0,0,0,558,-70,-14,6,-10,-14,-6,-4,-2,0,-3,-1,1,0,4,0,0,4,-2,0,1,-2,2,-7,-5,1,-1,1,-1,3,162,-36,6,0,-6,0,0,0,0,0,0,0,6,0,2,0,0,-2,-3,-1,1,0,1,0,0,0,28,-10,4,-2,-4,1,-1,1,1,-1,2,0,2,-1,0,-2,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,1,-1,0,0
s[912114],14300,2860,-220,-380,-52,60,20,20,2420,160,-76,16,20,0,20,314,34,14,-2,2,44,-2,-4,-2,-10,-2,-10,880,-112,-72,8,0,0,64,-4,0,-4,0,4,-4,0,-2,-4,-28,-12,-4,-4,-4,0,-4,2,0,0,0,350,-70,-10,10,-2,10,35,5,-1,1,-1,-1,-1,-1,-10,-2,-2,-2,-1,1,-1,2,-2,0,0,0,0,0,0,0,106,-34,6,2,2,16,2,0,2,-2,2,-2,-4,0,0,2,0,2,1,1,1,1,1,2,2,2,20,-10,4,-2,4,5,-1,1,-1,-1,-2,0,-2,1,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
s[9116],3003,429,-165,-99,27,45,-5,-35,627,33,-21,9,3,-15,-5,141,15,-3,-9,-3,33,-3,-3,9,6,6,6,165,-69,-27,11,5,-5,21,-9,-3,-1,5,3,-3,3,3,3,-29,-11,3,5,-5,1,3,1,-3,3,-3,93,-21,5,11,-3,-5,27,3,-1,-1,6,0,2,3,-5,1,3,1,1,1,-2,1,-1,8,4,0,2,-2,0,-2,27,-15,3,1,-5,9,-3,-3,1,0,0,0,-7,-1,1,-1,-1,-1,2,0,-2,-1,-2,-2,-2,-2,7,-5,3,-1,-1,4,-2,0,1,1,-3,1,1,0,-1,2,0,-1,-1,-1,0,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s[8171],1430,572,242,104,46,20,10,0,143,77,35,17,7,5,-5,44,14,8,2,4,-1,5,-1,5,8,-4,-10,-22,8,6,4,2,0,23,5,3,1,-1,-4,2,0,5,-1,22,4,2,0,-5,1,-1,4,-6,0,3,-55,-13,-3,-1,1,-5,8,2,0,2,-1,-1,3,-1,13,3,1,-1,-2,0,1,-3,-1,10,2,2,-2,2,-2,0,-40,-14,-4,-2,0,-1,1,-1,1,2,-2,-4,4,2,0,1,-1,0,5,1,1,-1,-1,4,0,-2,-19,-9,-3,-1,-3,-4,0,0,2,0,-1,1,-1,2,1,1,1,1,2,0,2,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[816111],11583,3861,1287,405,111,21,-9,21,891,351,111,27,3,-9,-9,162,36,6,0,-6,0,0,0,0,0,0,0,-99,27,13,3,-3,11,69,9,1,-3,-3,-6,0,-2,0,0,55,5,-1,5,-5,-1,-1,-2,-3,3,-3,-252,-44,-8,0,-4,-4,21,1,1,-3,-3,1,1,0,26,2,-2,-2,-1,-1,-1,0,0,13,1,-3,1,1,1,3,-162,-36,-6,0,6,0,0,0,0,0,0,0,6,0,2,0,0,2,3,-1,-1,0,1,0,0,0,-65,-17,-1,-1,-1,-5,1,-1,1,1,-1,-1,-1,-1,-1,0,-2,0,-1,-1,-2,-15,-5,1,3,-3,1,1,0,-1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s[815121],32032,9152,2464,640,160,64,32,0,1936,464,112,16,16,16,-16,64,20,-8,4,16,10,-10,-2,10,-8,-4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-288,-48,-16,0,0,-16,6,-6,2,6,-6,0,2,0,0,0,0,0,0,0,0,0,0,-8,2,4,1,-1,0,-3,-176,-20,-8,-4,0,10,-2,-2,2,-2,-2,4,0,0,0,0,0,0,-6,0,2,0,0,-4,0,2,-56,-4,0,-4,-8,4,2,0,1,-1,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,-2,-2,1,-1,1,0,0,0,1,4,2,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[815112],35100,9360,2100,288,-84,-80,-60,0,2430,540,78,-36,-18,-20,30,162,36,-18,0,-6,27,-9,3,-9,0,0,0,120,48,8,-8,-8,0,36,6,-4,-2,4,6,0,2,3,3,20,0,-4,0,2,0,2,2,0,0,0,-300,-20,0,8,-4,20,15,-5,3,-1,-3,1,-3,-3,10,-2,-2,2,1,1,1,0,0,0,0,0,0,0,0,0,-216,-6,4,6,0,9,-3,1,-3,0,0,0,4,-2,0,1,1,0,-1,-1,-1,-1,-1,0,0,0,-89,1,7,1,7,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,2,-20,0,4,0,-2,0,-2,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[814131],35035,9009,2079,525,147,25,-9,21,1771,189,63,33,3,-11,-9,-182,0,18,0,-6,16,18,0,-6,16,0,-20,231,-63,-21,-3,-1,9,-105,-15,3,-3,-1,0,6,0,6,0,-49,-11,3,1,-1,1,3,2,3,-3,3,-35,-21,-11,-5,-3,-5,-14,-6,-2,-2,-2,0,-2,1,-9,-3,-1,-3,0,0,0,1,-1,-5,-1,-1,1,-1,1,0,-42,0,-2,0,6,6,0,-2,0,0,0,-6,0,2,0,0,2,-2,-2,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,0,16,0,0,0,-2,0,-2,0,0,1,0,5,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[81412111],91000,20800,3400,320,-40,0,40,0,5500,400,-20,-40,-4,0,-20,-260,-20,-20,-4,-4,10,-8,-2,-4,-8,4,10,1200,0,0,0,16,0,-120,0,0,0,-8,0,0,0,-6,0,-40,0,8,0,-4,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-160,20,0,4,0,20,2,0,-2,2,2,2,0,4,0,0,-2,0,0,0,0,0,0,4,0,-2,-70,10,-2,-2,2,5,1,1,-1,1,-4,0,0,-1,2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-2,-2,2,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,-3,-1,1,0,1,0,0,0,0,0,0,0
s[814113],53625,10725,825,-435,-295,-75,25,-35,4125,375,-15,-45,5,15,25,120,60,0,12,8,30,6,6,6,21,-3,-15,825,-15,-15,-15,9,-15,-15,15,-3,3,9,0,0,0,6,-6,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-120,20,0,4,-8,0,-4,0,4,3,-1,-3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-65,15,-1,-1,-1,-5,-3,-1,1,-3,-1,-1,-1,-1,-1,0,0,0,-1,-1,-2,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
s[813211],57330,12012,1582,168,42,-60,-90,0,3213,-63,-35,33,-3,-15,45,-378,-42,22,6,6,-18,6,-2,6,0,0,0,1078,-56,-14,-12,-18,0,-119,-11,1,-3,9,-2,-2,-2,-2,-2,-14,-12,-2,0,1,-3,1,-2,6,0,-3,245,7,17,3,-3,15,-7,7,5,3,2,-2,2,2,13,-1,1,3,1,-1,-2,1,3,10,2,2,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,0,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-2,0,-2,1,0,0,0,0,0,0,0,0
s[813122],58968,11232,936,0,120,96,72,0,3564,-216,-132,0,12,24,-36,-324,-72,-12,0,12,0,0,0,0,0,0,0,1440,0,16,0,0,0,-48,0,-8,0,0,12,0,4,0,0,40,0,-8,0,4,0,4,4,0,0,0,288,-8,16,0,0,-24,-6,4,-2,0,6,-2,-2,0,20,0,-4,0,2,0,2,0,0,8,2,-4,-1,-1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,4,-2,0,-6,1,1,1,-2,-2,-2,0,2,1,-2,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,0,-1,-1,0,1,-3,1,1,0,-1,0,0,0,0,0,0,0
