Unnamed: 0_level_0,[114],[21112],[22110],[2318],[2416],[2514],[2612],[27],[31111],[312119],[312217],[312315],[312413],[312511],[3218],[322116],[322214],[322312],[3224],[3315],[332113],[332211],[3412],[3421],[41110],[412118],[412216],[412314],[412412],[4125],[413117],[41312115],[41312213],[41312311],[413214],[41322112],[413222],[413311],[4216],[422114],[422212],[4223],[423113],[42312111],[4232],[4312],[4321],[5119],[512117],[512215],[512313],[512411],[513116],[51312114],[51312212],[513123],[513213],[51322111],[5133],[514115],[51412113],[51412211],[51413112],[51413121],[514211],[5214],[522112],[5222],[523111],[5241],[6118],[612116],[612214],[612312],[6124],[613115],[61312113],[61312211],[613212],[613221],[614114],[61412112],[614122],[61413111],[6142],[615113],[61512111],[615131],[6212],[6221],[7117],[712115],[712213],[712311],[713114],[71312112],[713122],[713211],[714113],[71412111],[714131],[715112],[715121],[716111],[72],[8116],[812114],[812212],[8123],[813113],[81312111],[8132],[814112],[814121],[815111],[8161],[9115],[912113],[912211],[913112],[913121],[914111],[9151],[10114],[1012112],[10122],[1013111],[10141],[11113],[1112111],[11131],[12112],[12121],[13111],[141]
s[3224],6435,-1485,375,-81,27,-5,15,-105,0,-54,0,-6,0,10,63,9,3,-3,-9,-18,0,6,0,0,225,-15,5,-3,-7,25,-30,0,2,0,3,-3,-1,0,15,-1,3,-5,0,2,3,-3,-3,-120,20,0,4,-8,0,-4,0,4,3,-1,-3,0,0,0,0,0,0,0,0,0,0,0,21,-9,1,3,-3,6,0,-2,0,0,-3,-1,1,0,1,1,1,1,0,0,9,-1,-3,3,0,2,0,0,1,-1,-2,-1,-1,0,2,-5,3,-1,-1,-2,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[322312],14014,-3542,882,-210,54,-30,10,70,385,-119,21,-3,9,-15,49,1,-3,-3,9,-8,4,0,-2,-2,252,-28,8,0,4,-20,-21,-1,-1,3,3,-1,-1,0,10,-2,-2,2,1,1,1,0,0,-196,28,-8,0,4,5,1,1,-3,-1,1,2,2,2,-2,-1,-1,0,-6,-2,2,0,2,63,-9,3,-5,7,0,0,0,0,0,-3,1,1,0,-1,3,1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,2,2,-2,-1,-1,-1,0,0,0,1,4,-2,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[322214],12012,-3564,916,-228,60,-28,36,-84,990,-162,34,-6,6,-10,-42,0,-2,0,6,6,0,-2,0,0,-216,8,0,0,-8,24,36,-4,0,0,0,2,0,0,-20,4,4,-4,-2,-2,-2,0,0,-8,6,-4,2,0,-5,3,-1,-1,-2,0,1,4,-2,0,1,1,0,-3,1,1,0,-1,42,0,2,0,-6,-6,0,2,0,0,0,-2,0,0,2,2,0,-1,0,0,-21,-1,-1,3,3,-1,-1,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-2,0,0,0,1,-3,1,1,0,-1,0,0,0,0,0,0,0
s[322116],5733,-2079,609,-147,45,-23,9,21,945,-189,21,-9,9,-5,0,18,0,-6,0,-18,0,6,0,0,-441,63,-5,3,-1,-9,21,-9,1,3,6,0,-2,0,-15,5,-3,1,-3,-1,0,3,3,168,-14,4,-2,0,-15,1,1,1,0,-2,-3,4,-2,0,1,1,0,3,1,-1,0,-1,-42,0,-2,0,6,6,0,-2,0,0,0,2,0,0,-2,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-3,-1,1,0,1,2,0,-1,0,0,0,0
s[3218],1365,-615,225,-59,13,-15,25,-35,375,-111,15,1,7,-15,42,6,-6,-2,10,-12,6,0,-3,-3,-225,55,-5,3,-9,15,-15,-5,1,3,6,-2,-2,0,5,1,1,-3,-1,1,2,-1,-1,120,-20,0,-4,8,0,4,0,-4,-3,1,3,0,0,0,0,0,0,0,0,0,0,0,-56,4,0,4,-8,4,-2,0,1,1,0,0,0,0,0,-1,-1,-1,1,1,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0
s[312511],4576,-1408,448,-128,32,0,0,0,220,-112,28,-8,-4,0,76,-4,4,4,-4,-14,-4,-2,4,-4,128,0,0,0,0,0,-40,0,0,0,8,0,0,2,32,0,0,0,-4,0,-4,0,0,-134,22,-2,2,2,10,-2,-2,2,1,1,1,-12,0,0,0,0,2,6,2,-2,0,-2,64,-16,0,0,0,4,2,0,-2,2,0,0,0,0,0,-1,-1,-1,0,0,-16,6,0,-2,-4,0,0,-1,2,0,2,-1,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
s[312413],6006,-2046,666,-202,46,-6,-14,14,561,-183,57,-7,1,9,57,-21,-3,-1,1,12,6,0,-6,6,-36,20,-8,0,4,-4,-15,5,1,-3,-3,-1,1,0,10,-2,-2,2,1,1,1,0,0,-84,14,-4,-2,-4,6,2,2,-2,-3,-1,-3,-6,0,2,0,0,0,1,-1,1,1,-1,71,-11,3,1,-1,-4,-2,0,2,-2,3,1,-1,0,-1,1,-1,1,-2,2,-35,5,1,1,1,-1,1,1,-1,-1,-1,0,0,1,0,10,-2,-2,2,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,0,0
s[312315],4368,-1728,608,-192,48,0,0,0,738,-216,62,-12,-6,0,42,-18,2,6,-6,12,0,-4,0,0,-288,64,-16,0,0,0,6,4,2,0,-6,-2,2,0,-16,0,0,0,2,0,2,0,0,83,-13,3,3,3,-7,-1,-3,3,2,2,2,7,-1,-1,1,-1,-1,-2,2,-2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,1,-1,-3,3,1,-1,0,-1,1,-1,-1,1,0,0,16,0,0,0,-2,0,-2,0,0,1,0,-6,0,2,0,0,0,-1,0,0,0,0,0,1,-1,1,0,0,0,0
s[312217],2002,-946,386,-130,34,-2,-14,14,550,-190,50,-10,-2,10,70,-10,2,2,-2,-5,-1,-1,1,-1,-314,90,-18,2,6,-6,-20,0,0,-4,4,0,0,1,-2,2,-2,2,-2,2,-2,2,-2,162,-36,6,0,-6,0,0,0,0,0,0,0,6,0,2,0,0,-2,-3,-1,1,0,1,-70,10,-2,-2,2,5,1,1,-1,1,-4,0,0,-1,2,0,0,0,1,-1,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,1,-1,1,0,3,1,-1,0,-1,0,0,0,-1,1,0,0
s[312119],560,-320,160,-64,16,0,0,0,230,-104,34,-4,-2,0,62,-14,-2,2,-2,2,4,-2,-4,4,-160,64,-16,0,0,0,-34,4,2,0,2,-2,2,2,16,0,0,0,-2,0,-2,0,0,105,-35,5,1,1,15,1,-1,1,-3,1,-3,-5,-1,-1,1,-1,1,0,0,0,0,0,-64,16,0,0,0,-4,-2,0,2,-2,0,0,0,0,0,1,1,1,0,0,35,-5,-1,-1,-1,1,-1,-1,1,1,1,0,0,-1,0,-16,0,0,0,2,0,2,0,0,-1,0,5,1,1,-1,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0
s[31111],78,-54,34,-18,6,2,-6,6,45,-27,13,-3,-3,5,21,-9,1,3,-3,6,0,-2,0,0,-36,20,-8,0,4,-4,-15,5,1,-3,-3,-1,1,0,10,-2,-2,2,1,1,1,0,0,28,-14,4,2,-4,10,-2,-2,2,1,1,1,-6,0,2,0,0,0,3,1,-1,0,-1,-21,9,-1,-3,3,-6,0,2,0,0,3,1,-1,0,-1,-1,-1,-1,0,0,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,0,1,-10,2,2,-2,-1,-1,-1,0,0,0,1,6,0,-2,0,0,0,1,-3,-1,1,0,1,1,1,1,0,0,0,-1
s[27],429,-165,69,-29,13,-5,5,35,33,-21,9,-5,1,-5,15,-3,3,1,7,-3,-3,-3,6,6,15,1,-1,1,-1,-15,-9,1,-1,1,3,1,-1,-3,9,-1,1,7,-3,-1,3,3,-3,-21,5,-1,1,3,3,-1,-1,-5,0,2,-3,-5,1,-1,1,1,-1,4,0,4,-2,0,13,-5,1,-1,5,1,1,1,-2,-2,1,-1,-3,1,1,-2,0,1,2,2,-5,3,-1,-1,-2,0,2,1,1,1,-2,0,-2,-1,2,1,-1,1,-1,1,-1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[2612],1001,-407,173,-75,33,-15,5,-35,110,-56,26,-12,6,0,29,-11,5,-3,-3,2,-2,2,2,-2,7,7,-5,3,-1,15,-14,4,-2,0,1,1,1,-2,13,-3,1,-7,-2,0,1,3,3,-34,8,-2,0,-2,5,-1,1,3,-1,-1,2,-8,2,0,1,-1,-2,6,-2,-2,0,2,27,-9,3,-1,-5,0,0,0,0,0,3,-1,3,0,-1,-3,1,0,2,-2,-14,6,-2,2,-2,0,-2,1,0,0,0,1,1,-1,0,5,-3,1,1,2,0,-1,-1,-1,0,1,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[2514],1001,-451,201,-91,41,-19,9,21,176,-76,36,-16,8,-4,26,-16,6,-4,2,11,-1,3,-4,-4,-51,21,-11,5,-3,-11,-6,6,-2,2,-6,0,-2,3,1,-3,1,5,4,0,-2,-3,-3,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,14,-4,2,0,6,-1,-1,-1,2,2,2,0,-2,-1,2,-1,1,-1,0,0,-14,4,-2,0,1,1,1,-2,-2,0,1,1,-1,0,0,9,-3,1,-3,0,0,0,1,1,-1,0,-4,2,0,-1,-1,0,1,1,-1,1,1,-1,0,0,0,0,0,0,0
s[2416],637,-329,161,-77,37,-17,9,-21,175,-77,35,-17,7,-5,28,-14,8,-2,4,7,-5,-1,4,4,-91,35,-15,7,-3,11,-7,5,-3,1,-4,2,0,-1,-3,-1,1,-5,3,-1,0,-3,3,42,-14,6,-2,2,0,-2,0,-2,3,1,-3,4,0,0,-2,0,2,-3,1,1,0,-1,-14,4,-2,0,-6,1,1,1,-2,-2,-2,0,2,1,-2,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,1,3,-1,-1,2,1,-1,0,0,-5,1,-1,1,1,-1,0,3,-1,-1,0,1,-1,1,-1,0,0,0,0
s[2318],273,-165,93,-49,25,-13,5,7,111,-57,27,-13,7,-1,30,-12,6,-4,-2,3,-3,3,3,-3,-75,35,-15,7,-3,-5,-15,5,-3,1,0,2,0,-3,5,-1,1,3,-1,-1,2,1,-1,48,-20,8,-4,0,6,-2,2,2,0,-2,3,0,0,0,0,0,0,-2,0,-2,1,0,-28,10,-4,2,4,-1,1,-1,-1,1,-2,0,-2,1,0,2,0,-1,-1,1,14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,0,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,0,0,2,0,2,-1,0,-2,0,1,1,-1,0,0
s[22110],77,-55,37,-23,13,-7,5,-7,44,-28,16,-8,4,-4,20,-10,4,-2,4,5,-1,1,-1,-1,-35,21,-11,5,-3,5,-14,6,-2,2,-2,0,-2,1,9,-3,1,-3,0,0,0,1,1,27,-15,7,-3,3,9,-3,1,-3,0,0,0,-5,1,-1,1,1,-1,2,0,2,-1,0,-20,10,-4,2,-4,-5,1,-1,1,1,2,0,2,-1,0,0,0,0,-1,-1,14,-6,2,-2,2,0,2,-1,0,0,0,-1,-1,1,0,-9,3,-1,3,0,0,0,-1,-1,1,0,5,-1,1,-1,-1,1,0,-2,0,-2,1,0,0,0,0,1,1,-1,0
s[21112],13,-11,9,-7,5,-3,1,1,10,-8,6,-4,2,0,7,-5,3,-1,-1,4,-2,0,1,1,-9,7,-5,3,-1,-1,-6,4,-2,0,-3,1,1,0,5,-3,1,1,2,0,-1,-1,-1,8,-6,4,-2,0,5,-3,1,1,2,0,-1,-4,2,0,-1,-1,0,3,-1,-1,0,1,-7,5,-3,1,1,-4,2,0,-1,-1,3,-1,-1,0,1,-2,0,1,1,1,6,-4,2,0,3,-1,-1,0,-2,0,1,1,1,0,-1,-5,3,-1,-1,-2,0,1,1,1,0,-1,4,-2,0,1,1,0,-1,-3,1,1,0,-1,2,0,-1,-1,-1,0,1
s[114],1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1
