Unnamed: 0_level_0,[112],[21110],[2218],[2316],[2414],[2512],[26],[3119],[312117],[312215],[312313],[312411],[3216],[322114],[322212],[3223],[3313],[332111],[34],[4118],[412116],[412214],[412312],[4124],[413115],[41312113],[41312211],[413212],[413221],[4214],[422112],[4222],[423111],[43],[5117],[512115],[512213],[512311],[513114],[51312112],[513122],[513211],[514113],[51412111],[514131],[5212],[5221],[6116],[612114],[612212],[6123],[613113],[61312111],[6132],[614112],[614121],[615111],[62],[7115],[712113],[712211],[713112],[713121],[714111],[7151],[8114],[812112],[8122],[813111],[8141],[9113],[912111],[9131],[10112],[10121],[11111],[121]
s[614121],2673,567,117,27,9,15,45,0,0,0,0,0,0,0,0,0,0,0,0,-63,-9,-3,3,9,0,0,0,0,0,-3,3,1,0,-3,-27,-3,-3,-3,0,0,0,0,-3,1,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,-2,0,0,0,1,3,1,-1,0,-1,0,0,0,0,0,0,0
s[614112],3080,560,56,-24,-24,0,-40,56,14,-4,-6,0,11,-1,-1,3,2,2,2,-56,4,0,4,-8,4,-2,0,1,1,0,0,0,0,0,-35,5,1,1,1,-1,1,1,-1,-1,-1,0,0,-9,3,3,-1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0
s[6132],1650,300,50,20,2,-20,-30,-15,-15,5,5,-7,-15,3,5,-1,3,3,12,-20,-10,-4,-2,-4,-5,-1,-1,1,-1,-2,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,1,3,-1,-1,2,1,-1,0,0,5,-1,1,-1,-1,1,0,2,0,2,-1,0,0,0,0,0,0,0,0
s[61312111],5632,768,0,0,0,0,0,64,-48,0,0,0,-32,0,0,0,-2,-6,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,8,0,0,4,2,0,-2,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,4,-2,0,1,1,0,-1,0,0,0,0,0,-2,0,1,0,0,0,0
s[613113],3696,336,-112,-48,-16,16,16,168,0,8,0,8,6,6,2,-6,-3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,6,-2,2,-2,0,-2,1,0,0,0,1,1,-6,2,-2,-2,-3,-1,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s[6123],1925,175,-35,15,21,15,45,35,-35,-5,-3,3,-10,-2,-2,6,8,4,8,35,5,3,-3,3,5,-1,-3,2,2,5,-1,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
s[612212],3564,216,-132,0,12,-24,-36,162,-36,6,0,-6,0,0,0,0,0,0,0,48,0,8,0,0,6,0,2,0,0,4,0,4,-2,0,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,1,-1,0,0
s[612114],2100,0,-140,0,20,0,20,210,0,10,0,2,30,0,-2,0,-6,0,-6,0,-20,0,-4,0,0,-2,0,0,-2,-4,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
s[6116],462,-42,-42,14,14,-10,-10,84,0,0,-4,-4,21,-3,-3,5,3,3,3,-14,-14,2,2,2,-2,-2,2,1,1,-6,2,2,0,-2,7,3,3,-1,4,0,0,1,1,1,-2,2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s[5221],1320,240,56,8,8,0,-40,-48,6,-4,2,8,15,-3,-1,5,-3,-3,6,-56,-4,0,-4,-8,4,2,0,1,-1,0,0,0,0,0,-15,-5,1,3,-3,1,1,0,-1,1,-1,0,0,5,-1,-3,-1,-1,-1,2,-1,1,0,2,4,2,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
