Unnamed: 0_level_0,[113],[21111],[2219],[2317],[2415],[2513],[2611],[31110],[312118],[312216],[312314],[312412],[3125],[3217],[322115],[322213],[322311],[3314],[332112],[3322],[3411],[4119],[412117],[412215],[412313],[412411],[413116],[41312114],[41312212],[413123],[413213],[41322111],[4133],[4215],[422113],[422211],[423112],[423121],[4311],[5118],[512116],[512214],[512312],[5124],[513115],[51312113],[51312211],[513212],[513221],[514114],[51412112],[514122],[51413111],[5142],[5213],[522111],[5231],[6117],[612115],[612213],[612311],[613114],[61312112],[613122],[613211],[614113],[61412111],[614131],[615112],[615121],[6211],[7116],[712114],[712212],[7123],[713113],[71312111],[7132],[714112],[714121],[715111],[7161],[8115],[812113],[812211],[813112],[813121],[814111],[8151],[9114],[912112],[9122],[913111],[9141],[10113],[1012111],[10131],[11112],[11121],[12111],[131]
s[7116],924,0,-84,0,28,0,-20,168,0,0,0,-8,0,42,0,-6,0,6,0,6,6,0,-28,0,4,0,0,-4,0,4,0,2,0,-12,0,4,0,0,0,14,0,6,0,-2,8,0,0,2,0,0,2,0,0,-2,4,0,-2,0,-2,0,-2,0,-2,0,0,-2,0,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s[6211],1287,363,111,27,7,-5,15,27,27,3,3,-5,-5,27,-3,3,-3,-9,3,3,0,-57,-1,-1,-1,7,15,-1,-1,-1,-3,-1,-3,11,-1,3,-1,-1,3,-43,-7,1,-3,-3,2,2,-2,2,2,3,-1,-1,0,1,2,-2,2,-15,-5,1,3,-3,1,1,0,-1,1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s[615121],5148,1122,264,54,20,10,0,-27,27,-3,3,5,-5,36,-6,0,6,-9,-3,3,0,-168,-14,-4,-2,0,15,1,-1,1,0,-2,3,4,2,0,1,-1,0,-77,-13,-1,-1,-5,-2,2,2,1,-1,-3,1,1,0,-1,-2,2,-2,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-1,1,0,10,2,-2,-2,1,-1,1,0,0,0,1,4,2,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[615112],5720,1100,176,-20,-24,-20,0,50,50,-10,-2,-6,10,50,-10,2,-2,-4,2,-4,-4,-160,8,0,0,0,20,-4,0,0,2,2,2,8,-4,0,2,2,0,-90,0,6,0,6,0,0,0,0,0,0,-2,0,0,-2,0,0,0,-20,0,4,0,-2,0,-2,-2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[614131],6435,1155,231,63,11,-5,15,-135,-21,9,3,-7,-5,-9,9,3,-3,9,3,-3,0,-147,-35,-7,1,5,-9,1,-1,1,3,1,-3,-5,3,-1,1,3,-3,-20,-10,-4,-2,-4,-5,-1,-1,1,-1,-2,0,-2,1,0,0,0,0,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,16,0,0,0,-2,0,-2,0,0,1,0,5,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[61412111],17160,2420,208,-12,-8,20,0,-90,-34,-14,-6,-2,-10,-6,-4,-2,0,-3,-1,1,0,-224,0,0,8,0,4,0,0,-4,-2,0,1,-8,4,0,-2,-2,0,-70,10,-2,-2,2,5,1,1,-1,1,-4,0,0,-1,2,0,0,0,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,10,-2,-2,2,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,-3,-1,1,0,1,0,0,0,0,0,0,0
s[614113],10296,1056,-120,-120,-40,16,-24,216,48,0,0,8,16,27,3,3,3,9,3,-3,0,-120,20,0,4,-8,0,-4,0,4,3,-1,-3,0,0,0,0,0,0,-64,16,0,0,0,-4,-2,0,2,-2,0,0,0,0,0,1,1,1,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
s[613211],11440,1320,64,32,-16,-40,0,-140,-84,16,8,-4,20,-56,6,4,2,1,-3,1,4,-48,-20,-8,-4,0,-6,-2,-2,2,0,-2,-3,0,0,0,0,0,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-2,0,-2,1,0,0,0,0,0,0,0,0
s[613122],12012,1078,-56,42,36,30,0,-63,-119,-11,-3,9,-15,-42,-2,-2,6,6,-2,-2,0,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,7,13,-1,-3,-9,7,1,-1,-2,-2,1,-1,1,1,-1,2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,2,0,-1,-1,0,1,-3,1,1,0,-1,0,0,0,0,0,0,0
s[61312112],20592,1320,-384,-48,-16,-8,0,324,-84,24,0,-4,4,-36,6,0,-6,-9,-3,3,0,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-28,10,-4,2,4,-1,1,-1,-1,1,-2,0,-2,1,0,2,0,-1,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-1,1,0,5,-3,1,1,2,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0
