Unnamed: 0_level_0,[113],[21111],[2219],[2317],[2415],[2513],[2611],[31110],[312118],[312216],[312314],[312412],[3125],[3217],[322115],[322213],[322311],[3314],[332112],[3322],[3411],[4119],[412117],[412215],[412313],[412411],[413116],[41312114],[41312212],[413123],[413213],[41322111],[4133],[4215],[422113],[422211],[423112],[423121],[4311],[5118],[512116],[512214],[512312],[5124],[513115],[51312113],[51312211],[513212],[513221],[514114],[51412112],[514122],[51413111],[5142],[5213],[522111],[5231],[6117],[612115],[612213],[612311],[613114],[61312112],[613122],[613211],[614113],[61412111],[614131],[615112],[615121],[6211],[7116],[712114],[712212],[7123],[713113],[71312111],[7132],[714112],[714121],[715111],[7161],[8115],[812113],[812211],[813112],[813121],[814111],[8151],[9114],[912112],[9122],[913111],[9141],[10113],[1012111],[10131],[11112],[11121],[12111],[131]
s[512116],3003,-693,-21,91,-21,-5,-5,483,-21,-21,-5,3,-5,42,-6,6,-2,6,0,6,-3,-189,-21,11,3,3,-9,3,-1,3,0,0,0,-1,-1,-1,-1,-1,-1,63,17,-1,1,-1,3,-1,-1,-3,-1,1,-1,1,1,-1,-2,2,-2,-14,-6,-2,-2,-2,0,-2,1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0
s[5118],495,-165,15,27,-17,-5,15,135,-21,-9,3,7,-5,27,-3,3,-3,9,-3,-3,0,-69,-1,11,-1,-5,-9,-1,-1,-1,-3,-1,3,-1,3,-1,-1,3,3,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,-15,-5,1,3,-3,1,1,0,-1,1,-1,0,0,0,5,3,1,-1,2,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1
s[4311],3432,132,48,-4,-8,20,0,-258,6,6,-10,-2,-10,12,6,0,2,3,-3,3,12,-48,-20,8,4,0,-6,-2,2,-2,0,-2,-3,8,-4,0,2,2,0,42,-8,-2,-4,2,-3,1,1,-3,1,2,0,-2,-1,-2,2,2,2,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[423121],8580,0,84,0,4,0,20,-600,0,0,0,-8,0,30,0,6,0,-6,0,-6,-6,0,-28,0,4,0,0,-4,0,4,0,2,0,12,0,-4,0,0,0,90,0,-6,0,-6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,10,0,2,0,-2,0,0,-2,0,-2,0,0,2,-16,0,0,0,2,0,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[423112],11583,-297,27,-45,-9,15,-45,-567,63,9,-9,9,15,0,0,0,0,0,0,0,0,-27,-15,17,-3,-3,-9,-3,-1,-3,0,0,0,7,-1,3,1,-1,-3,78,-12,2,0,6,3,3,-1,0,0,-2,0,2,1,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-3,-1,-3,0,0,0,1,-1,1,0,5,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[422211],12870,-660,30,-12,38,-20,30,-540,36,-24,0,-4,-20,27,3,3,3,-9,-3,3,0,84,14,4,-2,4,-6,2,-2,-2,3,-1,3,-6,0,2,0,0,0,35,-5,-5,3,3,5,1,1,2,-2,-1,-1,-1,-1,-1,0,0,0,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,0,-10,-2,2,2,-1,1,-1,0,0,0,-1,6,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s[422113],12012,-1078,-56,-42,36,-30,0,-63,119,-11,3,9,15,-42,2,-2,-6,6,2,-2,0,-56,14,4,-6,0,-11,-1,1,3,-2,2,-2,4,2,0,1,-1,0,7,-13,-1,3,-9,7,-1,-1,-2,2,-1,-1,-1,-1,-1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,-1,0,-1,-3,-1,1,0,1,0,0,0,0,0,0,0
s[4215],4004,-616,-28,0,36,-24,36,224,56,-16,0,0,-24,-28,8,-4,0,8,-4,8,8,-112,0,-8,0,0,-4,0,4,0,-4,0,-4,12,0,-4,0,0,0,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
s[4133],3432,-132,48,4,-8,-20,0,-258,-6,6,10,-2,10,12,-6,0,-2,3,3,3,12,48,-20,-8,4,0,6,-2,-2,-2,0,-2,3,8,4,0,2,-2,0,42,8,-2,4,2,-3,-1,1,-3,-1,-2,0,2,1,-2,2,-2,2,-14,4,-2,0,1,1,1,-2,-2,0,1,1,-1,0,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[41322111],15015,-1155,147,-7,-17,5,-5,-735,21,9,5,1,5,21,-9,-3,-1,3,-3,3,-6,231,-35,-5,1,-1,9,1,1,1,3,1,-3,3,1,-1,-3,1,3,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,-49,1,-1,1,-1,1,-1,2,1,-1,1,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[413213],11440,-1320,64,-32,-16,40,0,-140,84,16,-8,-4,-20,-56,-6,4,-2,1,3,1,4,48,-20,8,-4,0,6,-2,2,2,0,-2,3,0,0,0,0,0,0,20,-10,4,-2,4,5,-1,1,-1,-1,-2,0,-2,1,0,0,0,0,-14,-4,-2,0,1,-1,1,-2,2,0,-1,1,1,0,9,3,1,3,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,-2,0,-2,1,0,0,0,0,0,0,0,0
s[413123],8580,-990,120,22,12,10,0,-285,-21,-21,-5,3,-5,48,12,0,4,-6,0,-6,12,216,6,-4,-6,0,-9,3,-1,3,0,0,0,-4,2,0,-1,-1,0,-35,5,5,-3,-3,-5,-1,-1,-2,2,1,1,1,1,1,0,0,0,-20,0,4,0,-2,0,-2,-2,0,0,0,0,0,0,5,-3,1,1,2,0,-1,-1,-1,0,1,4,-2,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[41312212],17160,-2420,208,12,-8,-20,0,-90,34,-14,6,-2,10,-6,4,-2,0,-3,1,1,0,224,0,0,8,0,-4,0,0,-4,2,0,-1,-8,-4,0,-2,2,0,-70,-10,-2,2,2,5,-1,1,-1,-1,4,0,0,1,2,0,0,0,-6,4,-2,0,-3,1,1,0,2,0,-1,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,-3,1,1,0,-1,0,0,0,0,0,0,0
s[41312114],12012,-2310,168,14,4,2,0,609,63,-15,-1,1,-1,-84,6,0,2,-3,3,-3,-12,-168,-14,-4,-2,0,15,1,-1,1,0,-2,3,4,2,0,1,-1,0,7,-5,3,-1,-1,4,-2,0,1,1,-3,1,1,0,-1,2,0,-1,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,0,-1,1,0,1,0,0,0,0,0,2,0,-1,0,0,0,0
s[413116],3640,-980,112,28,8,-20,0,490,-14,-26,-2,2,10,-14,16,-2,4,-5,1,-5,4,-224,0,0,8,0,4,0,0,-4,-2,0,1,8,-4,0,2,2,0,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,-14,-4,-2,0,1,-1,1,-2,2,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,-1,-1,0,0
s[412411],5720,-1100,176,20,-24,20,0,50,-50,-10,2,-6,-10,50,10,2,2,-4,-2,-4,-4,160,8,0,0,0,-20,-4,0,0,-2,2,-2,8,4,0,2,-2,0,-90,0,6,0,6,0,0,0,0,0,0,-2,0,0,-2,0,0,0,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,1,-1,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,0,0
s[412313],6864,-1584,240,16,-48,16,-16,384,-48,0,16,0,16,6,-6,-6,-2,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,-4,0,-4,-8,4,2,0,1,-1,0,0,0,0,0,-1,1,-1,34,6,-2,2,-2,0,-2,-2,0,0,0,-1,1,2,-10,-2,2,2,-1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0
s[412215],4212,-1242,216,18,-36,30,0,567,-63,-9,9,-9,-15,0,0,0,0,0,0,0,0,-216,6,4,-6,0,9,3,1,3,0,0,0,-4,-2,0,-1,1,0,57,3,1,3,9,-3,-3,1,0,0,-1,1,-1,-1,1,2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-3,-1,-3,0,0,0,1,-1,1,0,4,2,0,1,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0
s[412117],1430,-550,134,10,-26,10,-10,350,-70,-10,10,-2,10,35,5,-1,1,-1,-1,-1,-1,-190,22,10,-2,2,-10,-2,-2,-2,-1,1,-1,2,-2,2,2,-2,-2,90,0,-6,0,-6,0,0,0,0,0,0,2,0,0,2,0,0,0,-35,-5,1,-1,1,1,1,1,1,-1,1,0,0,-1,9,3,1,3,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,0
s[4119],220,-110,40,-2,-12,10,0,85,-29,1,7,-3,-5,22,-2,-2,-2,4,-2,4,4,-56,14,4,-6,0,-11,-1,1,3,-2,2,-2,4,2,0,1,-1,0,35,-5,-5,3,3,5,1,1,2,-2,-1,-1,-1,-1,-1,0,0,0,-20,0,4,0,-2,0,-2,-2,0,0,0,0,0,0,10,2,-2,-2,1,-1,1,0,0,0,1,-4,-2,0,-1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,-1
s[3411],2574,-330,78,-18,-2,-10,30,-162,6,6,6,-2,-10,9,-9,-3,3,9,3,-3,0,78,-22,-2,2,-2,6,2,-2,2,-3,-1,-3,2,2,2,2,2,-6,14,10,-2,2,-2,-7,1,1,-1,1,-2,-2,-2,1,2,4,0,-2,-21,1,-1,-3,3,1,-1,0,-1,1,-1,-1,1,0,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[3322],3432,-528,120,-24,8,0,-40,-168,0,0,0,8,0,21,-3,-3,-3,3,3,3,-6,120,-20,0,-4,8,0,4,0,-4,-3,1,3,0,0,0,0,0,0,-8,12,0,-4,8,-8,0,0,1,-3,0,0,0,0,0,2,2,2,-21,-1,3,-1,3,-1,3,0,-1,-1,-1,-1,-1,2,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s[332112],6435,-1155,231,-63,11,5,15,-135,21,9,-3,-7,5,-9,-9,3,3,9,-3,-3,0,147,-35,7,1,-5,9,1,1,1,-3,1,3,-5,-3,-1,1,-3,3,-20,10,-4,2,-4,-5,1,-1,1,1,2,0,2,-1,0,0,0,0,-21,-1,-1,3,3,-1,-1,0,1,1,1,-1,-1,0,16,0,0,0,-2,0,-2,0,0,1,0,-5,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
s[3314],3575,-825,155,-45,15,15,-45,125,15,5,-9,-3,15,-40,0,8,0,2,-6,2,8,-15,-15,5,-3,9,15,-3,-1,-3,0,0,-6,-5,3,-1,1,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,-5,-1,-1,1,-1,1,0,2,0,2,-1,0,0,0,0,0,0,0,0
s[322311],5148,-1122,264,-54,20,-10,0,-27,-27,-3,-3,5,5,36,6,0,-6,-9,3,3,0,168,-14,4,-2,0,-15,1,1,1,0,-2,-3,4,-2,0,1,1,0,-77,13,-1,1,-5,-2,-2,2,1,1,3,1,-1,0,-1,-2,-2,-2,6,-4,2,0,3,-1,-1,0,-2,0,1,1,1,0,10,-2,-2,2,1,1,1,0,0,0,-1,-4,2,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s[322213],6006,-1540,350,-84,22,-20,30,252,-28,8,0,4,-20,-21,-1,-1,3,3,-1,-1,0,28,-14,4,2,-4,10,-2,-2,2,1,1,1,-6,0,2,0,0,0,-49,5,-5,1,7,2,2,-2,-1,-1,3,1,-1,0,-1,-4,0,2,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,2,0,0,0,-1,3,-1,-1,0,1,0,0,0,0,0,0,0
s[322115],3432,-1100,272,-60,24,-12,0,414,-50,2,-6,6,6,-30,10,2,-6,-6,-2,2,0,-160,8,0,0,0,20,-4,0,0,2,2,2,-8,4,0,-2,-2,0,42,0,2,0,-6,-6,0,2,0,0,0,-2,0,0,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,3,1,-1,0,-1,-2,0,1,0,0,0,0
s[3217],936,-384,120,-24,8,-16,24,216,-48,0,0,8,-16,9,9,-3,-3,-9,3,3,0,-120,20,0,4,-8,0,-4,0,4,3,-1,-3,0,0,0,0,0,0,56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,1,1,1,-21,-1,-1,3,3,-1,-1,0,1,1,1,-1,-1,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,0
s[3125],1287,-363,111,-27,7,5,15,27,-27,3,-3,-5,5,27,3,3,3,-9,-3,3,0,57,-1,1,-1,-7,-15,-1,1,-1,3,-1,3,11,1,3,-1,1,-3,-43,7,1,3,-3,2,-2,-2,2,-2,-3,-1,1,0,1,2,2,2,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
s[312412],2860,-880,268,-72,12,0,-20,160,-64,16,0,0,0,34,-4,-2,0,-2,2,-2,-2,56,0,0,0,8,-16,0,0,0,2,0,2,12,0,-4,0,0,0,-70,10,-2,-2,2,5,1,1,-1,1,-4,0,0,-1,2,0,0,0,36,-6,0,-2,0,0,0,0,0,2,0,1,-1,-2,-10,2,2,-2,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,0,0,0,0
s[312314],2574,-924,294,-84,14,4,6,324,-84,24,0,-4,4,9,-9,-3,3,9,3,-3,0,-84,14,-4,-2,-4,6,2,2,-2,-3,-1,-3,-6,0,2,0,0,0,-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,-16,0,0,0,2,0,2,0,0,-1,0,6,0,-2,0,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,0
s[312216],1365,-595,217,-63,13,5,-15,315,-91,19,-3,-5,5,21,-1,1,3,-3,-1,1,0,-161,35,-5,-1,7,1,-1,1,-1,1,-1,1,-7,1,-3,-1,1,3,70,-10,2,2,-2,-5,-1,-1,1,-1,4,0,0,1,-2,0,0,0,-21,1,-1,-3,3,1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,-1,1,-1,0,-3,-1,1,0,1,0,0,0,1,-1,0,0
s[312118],429,-231,105,-35,5,1,1,159,-63,15,1,-1,1,33,-3,-3,1,-3,3,-3,-3,-105,35,-5,-1,-1,-15,-1,1,-1,3,-1,3,5,1,1,-1,1,-1,64,-16,0,0,0,4,2,0,-2,2,0,0,0,0,0,-1,-1,-1,-35,5,1,1,1,-1,1,1,-1,-1,-1,0,0,1,16,0,0,0,-2,0,-2,0,0,1,0,-5,-1,-1,1,-1,1,0,0,0,0,0,0,1,1,1,0,0,-1,0
s[31110],66,-44,26,-12,2,4,-6,36,-20,8,0,-4,4,15,-5,-1,3,3,1,-1,0,-28,14,-4,-2,4,-10,2,2,-2,-1,-1,-1,6,0,-2,0,0,0,21,-9,1,3,-3,6,0,-2,0,0,-3,-1,1,0,1,1,1,1,-15,5,1,-3,-3,-1,1,0,1,1,1,0,0,0,10,-2,-2,2,1,1,1,0,0,0,-1,-6,0,2,0,0,0,-1,3,1,-1,0,-1,-1,-1,-1,0,0,0,1
s[2611],429,-165,69,-29,13,-5,5,33,-21,9,-5,1,-5,15,-3,3,1,-3,-3,-3,6,15,1,-1,1,-1,-9,1,-1,1,3,1,-3,9,-1,1,-3,-1,3,-21,5,-1,1,3,3,-1,-1,0,2,-5,1,-1,1,-1,4,0,-2,13,-5,1,-1,1,1,1,-2,1,-1,1,-2,0,2,-5,3,-1,-1,-2,0,1,1,1,0,-1,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
s[2513],572,-242,104,-46,20,-10,0,77,-35,17,-7,5,5,14,-8,2,-4,5,1,5,-4,-8,6,-4,2,0,-5,3,-1,-1,-2,0,1,4,-2,0,1,1,0,-13,3,-1,-1,-5,2,0,2,-1,-3,-3,1,1,0,-1,2,-2,2,14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,-9,3,-1,3,0,0,0,-1,-1,1,0,4,-2,0,1,1,0,-1,-1,1,-1,-1,1,0,0,0,0,0,0,0
s[2415],429,-209,97,-45,21,-9,9,99,-41,19,-9,3,-9,12,-8,4,0,6,-2,-2,0,-43,15,-7,3,-3,-1,3,-1,3,-4,0,2,-3,-1,1,3,-1,-3,14,-4,2,0,6,-1,-1,-1,2,2,2,0,-2,-1,2,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,-3,1,1,-2,-1,1,0,0,5,-1,1,-1,-1,1,0,-3,1,1,0,-1,1,-1,1,0,0,0,0
s[2317],208,-120,64,-32,16,-8,0,76,-36,16,-8,4,4,16,-6,4,-2,1,-3,1,4,-48,20,-8,4,0,-6,2,-2,-2,0,2,-3,0,0,0,0,0,0,28,-10,4,-2,-4,1,-1,1,1,-1,2,0,2,-1,0,-2,0,1,-14,4,-2,0,1,1,1,-2,-2,0,1,1,-1,0,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,2,0,-1,-1,1,0,0
s[2219],65,-45,29,-17,9,-5,5,35,-21,11,-5,3,-5,14,-6,2,-2,2,0,2,-1,-27,15,-7,3,-3,-9,3,-1,3,0,0,0,5,-1,1,-1,-1,1,20,-10,4,-2,4,5,-1,1,-1,-1,-2,0,-2,1,0,0,0,0,-14,6,-2,2,-2,0,-2,1,0,0,0,1,1,-1,9,-3,1,-3,0,0,0,1,1,-1,0,-5,1,-1,1,1,-1,0,2,0,2,-1,0,0,0,0,-1,-1,1,0
s[21111],12,-10,8,-6,4,-2,0,9,-7,5,-3,1,1,6,-4,2,0,3,-1,-1,0,-8,6,-4,2,0,-5,3,-1,-1,-2,0,1,4,-2,0,1,1,0,7,-5,3,-1,-1,4,-2,0,1,1,-3,1,1,0,-1,2,0,-1,-6,4,-2,0,-3,1,1,0,2,0,-1,-1,-1,0,5,-3,1,1,2,0,-1,-1,-1,0,1,-4,2,0,-1,-1,0,1,3,-1,-1,0,1,-2,0,1,1,1,0,-1
s[113],1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1
