Unnamed: 0_level_0,[116],[21114],[22112],[23110],[2418],[2516],[2614],[2712],[28],[31113],[3121111],[312219],[312317],[312415],[312513],[312611],[32110],[322118],[322216],[322314],[322412],[3225],[3317],[332115],[332213],[332311],[3414],[342112],[3422],[3511],[41112],[4121110],[412218],[412316],[412414],[412512],[4126],[413119],[41312117],[41312215],[41312313],[41312411],[413216],[41322114],[41322212],[413223],[413313],[41332111],[4134],[4218],[422116],[422214],[422312],[4224],[423115],[42312113],[42312211],[423212],[423221],[4314],[432112],[4322],[433111],[44],[51111],[512119],[512217],[512315],[512413],[512511],[513118],[51312116],[51312214],[51312312],[513124],[513215],[51322113],[51322211],[513312],[513321],[514117],[51412115],[51412213],[51412311],[51413114],[5141312112],[51413122],[51413211],[514213],[51422111],[514231],[5216],[522114],[522212],[5223],[523113],[52312111],[5232],[524112],[524121],[5311],[61110],[612118],[612216],[612314],[612412],[6125],[613117],[61312115],[61312213],[61312311],[613214],[61322112],[613222],[613311],[614116],[61412114],[61412212],[614123],[61413113],[6141312111],[614132],[614212],[614221],[615115],[61512113],[61512211],[61513112],[61513121],[61514111],[6152],[6214],[622112],[6222],[623111],[6241],[7119],[712117],[712215],[712313],[712411],[713116],[71312114],[71312212],[713123],[713213],[71322111],[7133],[714115],[71412113],[71412211],[71413112],[71413121],[714211],[715114],[71512112],[715122],[71513111],[715141],[716113],[71612111],[716131],[7212],[7221],[8118],[812116],[812214],[812312],[8124],[813115],[81312113],[81312211],[813212],[813221],[814114],[81412112],[814122],[81413111],[8142],[815113],[81512111],[815131],[816112],[816121],[817111],[82],[9117],[912115],[912213],[912311],[913114],[91312112],[913122],[913211],[914113],[91412111],[914131],[915112],[915121],[916111],[9171],[10116],[1012114],[1012212],[10123],[1013113],[101312111],[10132],[1014112],[1014121],[1015111],[10161],[11115],[1112113],[1112211],[1113112],[1113121],[1114111],[11151],[12114],[1212112],[12122],[1213111],[12141],[13113],[1312111],[13131],[14112],[14121],[15111],[161]
s[12122],2640,1364,616,228,64,20,24,36,48,924,374,112,18,4,14,24,207,41,-5,-3,7,17,3,-13,-5,3,-12,-4,4,0,616,224,56,8,8,16,24,112,14,-4,2,8,-5,-7,-1,5,-5,-1,4,56,4,0,4,8,-4,-2,0,-1,1,0,0,0,0,0,385,119,21,3,9,15,49,-1,-3,3,9,-8,-4,0,-2,2,21,-1,1,3,-3,-1,1,0,1,-1,1,5,-1,1,3,-1,-1,2,1,-1,0,225,55,5,3,9,15,15,-5,-1,3,-6,-2,2,0,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,120,20,0,4,8,0,-4,0,4,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,56,4,0,4,8,-4,-2,0,-1,1,0,0,0,0,0,1,-1,1,1,-1,0,0,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,0,0,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
s[1212112],4004,2002,836,242,4,-46,-28,-14,-28,1430,550,134,-10,-26,-10,-10,350,70,-10,-10,-2,-10,35,-5,-1,-1,-1,1,-1,-1,946,316,50,-20,-14,-4,-14,190,22,-10,-2,-2,10,-2,2,-2,1,1,1,92,2,-4,2,-4,2,2,2,2,2,2,4,2,2,4,594,162,6,-18,-6,-6,90,0,-6,0,-6,0,0,0,0,0,36,-4,0,0,0,2,0,0,2,2,2,9,-3,1,-3,0,0,0,1,1,-1,350,70,-10,-10,-2,-10,35,-5,-1,-1,-1,1,-1,-1,10,-2,2,-2,1,1,1,2,2,0,0,0,0,0,0,0,-1,1,-1,-1,1,189,21,-11,-3,-3,9,-3,1,-3,0,0,0,1,1,1,1,1,1,-1,1,-1,-1,1,0,0,0,0,0,90,0,-6,0,-6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,-1,0,35,-5,-1,-1,-1,1,-1,-1,1,1,1,0,0,-1,0,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0
s[12114],1365,637,221,21,-43,-35,-3,21,21,507,175,23,-21,-13,7,15,144,28,-4,0,8,4,33,7,5,3,12,4,-4,0,329,89,-7,-23,-7,9,9,77,5,-7,1,5,14,2,2,-2,5,-1,-4,33,-7,-7,1,1,3,-1,-1,0,-4,-3,-3,-3,-3,-3,210,42,-14,-14,2,10,42,0,-2,4,2,9,3,1,3,-3,14,-6,-2,2,2,0,-2,-1,-2,-2,-2,5,-3,1,1,2,0,-1,-1,-1,0,126,14,-14,-6,6,6,21,-1,1,3,6,2,-2,0,4,-4,0,0,1,-1,-2,-2,-2,1,-1,1,1,-1,-1,1,0,0,0,0,0,70,0,-10,0,6,10,0,2,0,4,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,35,-5,-5,3,3,5,1,1,2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,0,1,5,-3,1,1,2,0,-1,-1,-1,0,1,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
s[11151],2548,1274,616,294,140,66,32,14,-28,637,287,133,63,29,15,5,112,56,28,12,8,0,28,14,4,6,7,-1,7,-5,308,126,56,26,12,6,-16,35,21,11,5,3,14,6,2,2,2,0,-1,0,6,4,2,-8,9,3,1,0,0,8,2,-4,-1,-4,133,49,21,9,5,1,7,7,3,3,-1,7,1,3,-2,4,-7,1,1,1,5,1,1,-1,5,1,-1,-7,-1,1,-1,2,2,2,3,1,3,42,14,6,2,2,-10,0,2,0,2,3,-1,3,-3,-4,0,0,-4,2,0,-1,2,-2,-3,-1,1,0,2,1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-4,-2,0,-6,1,-1,1,-2,2,2,0,-2,-1,-2,1,1,1,0,0,0,0,-14,-4,-2,0,1,-1,1,-2,2,0,-1,1,1,0,0,-9,-3,-1,-3,0,0,0,1,-1,1,0,-4,-2,0,-1,1,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[1114111],10752,4928,2048,768,256,64,0,0,0,2640,968,320,96,16,-8,0,360,104,32,0,-8,-8,24,14,-4,-6,12,-4,-4,0,1408,448,128,32,0,0,0,112,28,8,-4,0,4,4,-4,-4,4,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,188,48,8,-4,4,20,8,0,-4,-4,5,-1,-3,-1,-1,-22,-2,-2,2,2,-2,-2,-1,0,0,0,-18,-2,-2,-2,0,-2,0,-2,-2,-3,288,64,16,0,0,0,-6,4,-2,0,6,-2,-2,0,-16,0,0,0,2,0,2,0,0,-7,-1,1,-1,-1,-1,-2,0,0,0,0,0,84,14,4,-2,4,-6,2,-2,-2,3,-1,3,-6,0,2,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,-1,-1,3,3,-1,-1,0,1,1,1,-1,-1,0,0,-16,0,0,0,2,0,2,0,0,-1,0,-6,0,2,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0
s[1113121],13860,6006,2244,702,196,70,36,14,-28,3366,1056,246,48,22,16,6,378,30,-6,6,10,-2,-45,-15,3,9,-9,3,3,0,1914,516,98,20,10,4,-14,132,-6,-4,2,4,-30,-6,2,2,-3,3,-3,28,-10,-4,-2,-4,-14,-4,2,-2,2,-6,-4,2,0,4,990,216,34,12,6,0,21,-9,1,3,-3,-12,0,4,0,0,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-5,1,-1,-3,1,1,-2,-1,1,0,450,70,10,6,2,-10,-15,-5,1,3,-3,1,1,0,-10,-2,-2,-2,-1,1,-1,-2,2,0,0,0,0,0,0,0,3,-1,-1,0,1,168,14,4,2,0,-15,-1,1,-1,0,2,-3,-4,-2,0,-1,1,0,3,-1,-1,0,1,2,0,-1,0,0,42,0,2,0,-6,-6,0,2,0,0,0,-2,0,0,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,0,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
s[1113112],16848,7020,2376,540,0,-84,-72,-36,48,4212,1242,216,-18,-36,-30,0,567,63,-9,-9,-9,15,0,0,0,0,0,0,0,0,2376,576,56,-24,-24,-16,24,216,6,-4,-6,0,-9,3,-1,3,0,0,0,56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,1233,225,1,-15,-15,1,57,-3,1,-3,9,-3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-7,5,1,5,2,2,2,1,1,3,567,63,-9,-9,-9,15,0,0,0,0,0,0,0,0,-9,3,-1,3,0,0,0,-1,-1,-3,3,1,0,0,1,2,0,0,0,0,0,216,6,-4,-6,0,-9,3,-1,3,0,0,0,-4,2,0,-1,-1,0,1,1,1,1,1,0,0,0,-1,-1,56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,3,-1,3,0,0,0,-1,-1,1,0,-4,2,0,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0
s[1112211],14300,5720,1760,300,-28,0,40,20,-20,3575,935,83,-45,-1,15,-5,455,-7,-37,-3,-1,-15,-28,-22,-4,-6,-7,-1,-7,5,2090,450,14,-10,18,10,-10,197,-15,-7,5,-3,-13,-3,-1,-7,2,0,-1,84,0,8,4,-4,3,3,-1,3,-3,10,2,-2,1,-4,1100,160,-20,0,12,0,50,-20,-2,0,-6,-10,-2,-2,2,-2,20,0,4,0,2,0,-2,2,4,0,-2,0,0,0,0,0,0,0,0,0,0,525,35,-15,7,5,-5,0,-10,0,-2,-3,-1,-3,3,5,3,1,-1,2,0,-1,1,-1,0,0,0,0,0,0,0,1,-1,1,1,-1,216,-6,-4,6,0,-9,-3,-1,-3,0,0,0,4,2,0,1,-1,0,1,-1,1,1,-1,0,0,0,-1,1,70,-10,2,2,-2,-5,-1,-1,1,-1,4,0,0,1,-2,0,0,0,-1,1,0,0,14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
s[1112113],11648,4368,1088,-32,-192,-80,0,0,0,3068,738,8,-74,-12,10,0,518,42,-10,10,6,10,56,12,8,4,8,0,8,-4,1728,288,-64,-48,0,0,0,216,-6,-4,6,0,18,6,2,6,0,0,0,64,-16,0,0,0,4,2,0,-2,2,0,0,0,0,0,923,83,-57,-17,3,-5,83,-7,3,1,3,8,2,0,-4,2,13,-7,1,-3,1,-1,1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,448,0,-32,0,0,0,28,0,4,0,4,0,4,-2,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,0,0,0,0,0,189,-21,-11,3,-3,9,3,1,3,0,0,0,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,64,-16,0,0,0,4,2,0,-2,2,0,0,0,0,0,-1,-1,-1,0,0,1,0,14,-6,2,-2,2,0,2,-1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0
s[11115],3003,1001,143,-99,-77,1,39,21,-21,858,176,-22,-24,10,16,-6,198,26,2,6,-2,-14,51,11,-1,-9,12,-4,-4,0,451,33,-49,-19,11,9,-9,76,-6,-4,2,-4,16,0,-4,-4,1,-3,4,7,-19,-5,1,-1,-2,-4,-2,-2,2,-9,-3,3,0,3,253,1,-27,1,13,1,43,1,3,1,-5,13,1,-3,1,1,1,-7,1,1,1,-1,1,1,-3,1,3,3,1,3,1,3,1,3,1,3,3,126,-14,-14,6,6,-6,21,1,1,-3,6,-2,-2,0,-4,-4,0,0,-1,-1,2,-2,2,1,1,1,1,1,1,1,0,0,0,0,0,56,-14,-4,6,0,11,1,-1,-3,2,-2,2,-4,-2,0,-1,1,0,1,1,1,1,1,0,0,0,0,0,21,-9,1,3,-3,6,0,-2,0,0,-3,-1,1,0,1,1,1,1,0,0,0,-1,6,-4,2,0,3,-1,-1,0,-2,0,1,1,1,0,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
